"X","summary","fkre.GOLD","fkgl.GOLD","fogi.GOLD","smog.GOLD","cole.GOLD","auto.GOLD","t_word.GOLD","t_stopword.GOLD","t_punct.GOLD","t_syll.GOLD","t_syll2.GOLD","t_syll3.GOLD","t_uword.GOLD","t_sent.GOLD","t_char.GOLD","t_kup.GOLD","t_bry.GOLD","t_subtlex_us_zipf.GOLD","t_n_ent_law.GOLD","summary_generated","fkre.GEN","fkgl.GEN","fogi.GEN","smog.GEN","cole.GEN","auto.GEN","t_word.GEN","t_stopword.GEN","t_punct.GEN","t_syll.GEN","t_syll2.GEN","t_syll3.GEN","t_uword.GEN","t_sent.GEN","t_char.GEN","t_kup.GEN","t_bry.GEN","t_subtlex_us_zipf.GEN","t_n_ent_law.GEN"
2088,"Judicial Administration and Technical Amendments Act of 2008 - (Sec. 2) Amends the federal judicial code to: (1) move Dyer County from the Western Division to the Eastern Division of the Western Judicial District of Tennessee; and (2) make Dyersburg a site where the Court for the Eastern Division shall be held.

(Sec. 3) Reduces from 30 days to 10 days the minimum length of time a petit juror must serve on a trial before the court may pay a supplemental attendance fee.

(Sec. 4) Changes from a requirement to discretionary the authority of the district court to order any person summoned for jury service who fails to appear as directed to appear forthwith and show cause for failure to comply with the summons.

(Sec. 5) Requires the clerk or jury commission to post a general notice for public review in the clerk's office and on the court's website explaining the process by which names are periodically and randomly drawn from the master jury wheel.

(Sec. 6) Revises the items for which a judge or clerk of any court of the United States may tax as costs to specify: (1) printed or electronically recorded transcripts (currently, stenographic transcripts); and (2) copies of any materials (currently, papers) where the copies are necessarily obtained for use in the case.

(Sec. 7) Repeals obsolete provisions in the bankruptcy code relating to certain dollar amounts.

(Sec. 8) Authorizes the Director of the Administrative Office of the United States Courts, or a designated clerk of court, to request the Secretary of the Treasury to invest court registry funds in interest-bearing public debt securities.

(Sec. 9) Authorizes magistrate judge participation at circuit conferences.

(Sec. 10) Amends the federal criminal code to repeal the requirement that a chief pretrial services officer be selected by a panel consisting of the chief judge of the circuit, the chief judge of the district, and a magistrate judge of the district or their designees. Requires, instead, that the chief pretrial services officer be appointed by the district court.

(Sec. 11) Requires indexing, according to a specified formula, of the maximum amount of compensation payable to attorneys for representing defendants.

(Sec. 12) Expands delegation authority for reviewing and approving Criminal Justice Act vouchers in excess of case compensation maximums for: (1) representation of defendants; (2) services other than counsel; or (3) service as counsel for financially unable defendants. Authorizes the chief judge of the circuit to delegate such approval authority to a senior circuit judge (as well as to an active circuit court judge, as under current law).

(Sec. 13) Repeals obsolete cross-references to the Narcotic Addict Rehabilitation Act in speedy trial requirements.

(Sec. 14) Makes technical and conforming amendments to the federal criminal code with respect to conditions of probation and supervised release after imprisonment.

(Sec. 15) Includes among pretrial services functions contracting with any appropriate public or private agency or person, or expending funds, to monitor and provide treatment as well as nontreatment services to any such persons released in the community, including equipment and emergency housing, corrective and preventative guidance and training, and other services reasonably deemed necessary to protect the public and ensure that such persons appear in court as required.

(Sec. 16) Amends the federal judicial code to require at least (currently, not more than) three members of the United States Sentencing Commission to be federal judges. Thus allows more than three members of the Commission to be federal judges.)

(Sec. 17) Increases from $100 to $1,000 the monetary penalty for failure to appear for a jury summons. Authorizes the court to order community service as a penalty as well.

(Sec. 18) Requires court for the Sixth Division of the Minnesota Judicial District to be held at Bemidji (as well as at Fergus Falls, as under current law).

(Sec. 19) Increases from $1,000 to $5,000 the monetary penalty for employers who retaliate against employees serving on jury duty. Authorizes the court to order community service as a penalty as well.",50.78,12.062,18.442,7.037,12.239,13.876,816,267,129,1072,154,44,287,29,3551,3743.85,2904.984,3265.422,0,"Judicial Administration and Technical Amendments Act of 2008 - Amends the federal judicial code to: (1) change the composition of divisions of the Western District of Tennessee; (2) require a supplemental attendance fee for petit jurors serving on lengthy trials; (3) authorize district courts as to a jury summons; (4) require the clerk of court or jury commission to post a general notice for public review on the court's website explaining the process by which names are periodically and randomly drawn; (5) require public drawing specifications for jury wheels; (6) direct the Comptroller General to assess the cost of using court technology in federal criminal cases; and (7) repeal a provision in the federal bankruptcy code that terminates the authority of certain magistrate judges.",6.089,27.813,33.832,11.425,14.261,34.032,147,43,23,202,28,8,92,2,667,720.13,558.708,583.611,0
2090,"Restoring the 10th Amendment Act   Authorizes a designated state official to submit to the head of a federal agency proposing a rule, during the period when the proposed rule is open for public comment, a legal brief challenging the constitutionality of the rule under the Tenth Amendment to the Constitution.  Directs the agency head: (1) to notify the designated official of each state within 15 days after such a brief was submitted; (2) to post prominently on the front page of the agency's website a link to the brief; and (3) within 15 days after posting such link, to certify in writing that such rulemaking does not violate the Tenth Amendment and post the certification prominently on the agency's website next to the briefs pertaining to the rule, unless the agency determines not to finalize such proposed rule. Authorizes a designated state official, at any time after an agency head posts such a certification, to commence a civil action against the agency on the grounds that the rule violates the Tenth Amendment. Permits such state official, in addition to any other venue or jurisdiction provided by law, to bring such action in the U.S. district court for the district in which the official's place of business is located.  Directs the appropriate U.S. court of appeals, upon the filing of a notice by a designated state official, to grant expedited review of a decision by the district court in such an action.",30.65,21.257,28.019,10.219,11.334,25.485,271,119,24,368,51,16,110,5,1189,1402.99,1122.087,1260.31,4,"Restoring the 10th Amendment Act - Authorizes a designated state official to submit to the head of a federal agency proposing a rule, during the period during which the proposed rule is open for public comment, a legal brief challenging the constitutionality of the rule under the Tenth Amendment. Requires the agency head: (1) to notify the designated official of each state within 15 days after such a brief is submitted; (2) to post prominently on the front page of the agency's website a link to the brief; and (3) within 15 days after posting such link, to certify in writing that the rule does not violate the Tenth Amendment and post the certification prominently on the front page of the agency's website, unless the agency determines not to finalize the proposed rule.",15.087,27.8,35.457,11.425,11.359,34.179,150,65,16,196,29,8,70,2,645,745.3,576.833,682.198,2
2091,"Small Business Expansion and Hiring Act of 2011 - Amends the Internal Revenue Code to allow nongovernmental employers who employ an average of fewer than 100 employees during a taxable year a retained worker tax credit until December 31, 2012, for the lesser of $4,000 ($6,000 for a long-term unemployed individual) or 6.2% of the wages paid to a retained worker during a period of not less than 52 consecutive weeks of employment.  Limits the amount of such credit with respect to any business location of the employer to $400,000 and provides that the number of retained workers taken into account for such credit shall not exceed the excess of the number of employees of the taxpayer at the end of the taxable year over the number of such employees at the beginning of the taxable year.

Defines ""retained worker"" to mean any qualified individual who was employed on any date during the taxable year for a period of not less than 52 weeks and whose wages during the last 26 weeks of such period equaled at least 80% of such wages for the first 26 weeks of such period.  Defines ""qualified individual"" as any individual who: (1) begins employment after 2010 and before 2014, (2) certifies by signed affidavit that such individual has not been employed for 40 hours or more per week during the 60-day period ending on the date such individual begins employment, (3) is not replacing another employee, and (4) is not disqualified for such credit by a relationship to the employer.",24.099,26.605,32.253,9.474,10.1,33.294,298,128,29,364,36,11,129,4,1234,1323.61,1010.53,1286.258,0,"Small Business Expansion and Hiring Act of 2011- Amends the Internal Revenue Code to allow employers a business-related tax credit for the retention of certain employees who were employed for not less than 52 consecutive weeks between December 31, 2010, and January 1, 2014, or whose wages equaled at least 80% of them during the last 26 weeks of such period. Limits the amount of such credit to $400,000 in any taxable year.",55.973,14.768,20.333,4.04,10.459,18.986,83,34,8,100,10,1,66,2,353,312.96,238.195,345.417,0
2093,"Provides for whistleblower protections for airline employees. 
(Sec. 1) Declares that no airline employee (including a contractor or subcontractor of the Federal Aviation Administration (FAA) or of an air carrier) shall be liable:  (1) for commencing, testifying at, or participating in, a proceeding conducted by the Secretary of Transportation or the Administrator of the FAA or a related action; or (2) for refusing to violate or assist in the violation of any law or regulation in the course of employment, if such refusal is based on a reasonable belief that the law would be violated.  Prohibits an air carrier, contractor, or subcontractor from discriminating against such an employee.  Sets forth Department of Labor complaint procedures for employees alleging discrimination (including discharge, discipline, or reassignment) in violation of this Act. 
Sets forth civil penalties for violation of such employee protections.  Provides for judicial review for persons adversely affected by an order issued by the Secretary of Labor. 
(Sec. 2) Amends the Department of Transportation and Related Agencies Appropriations Act, 1996 to provide for the investigation, adjudication, and enforcement of whistleblower protections for FAA employees. 
(Sec. 3) Prohibits an employer from spending funds to implement or enforce certain agreements in Standard Forms 312 and 4355 of the Federal Government or any other nondisclosure policy, form, or agreement, if such policy, form, or agreement does not contain certain statements regarding employee protections with respect to certain disclosures.  Authorizes a nondisclosure policy, form, or agreement that is executed by a person connected with the conduct of an intelligence or intelligence-related activity (other than a Government employee or officer) to contain provisions appropriate to the particular activity for which such document is to be used.  Requires such agreement, at a minimum, to require that the person will not disclose classified information received in the course of such activity unless specifically authorized to do so by the Government. 
Requires such nondisclosure agreements to clarify that they do not bar disclosures to the Congress or to an authorized official of an executive agency or the Department of Justice that are essential to reporting a substantial violation of law. 
Authorizes an airline employee, former employee, or applicant for employment that has been discriminated against in violation of certain whistleblower protections to bring a civil action for relief in the appropriate U.S. district court.",24.589,18.069,25.226,10.56,15.086,20.609,456,177,58,699,119,41,173,12,2209,2192.25,1804.14,1943.315,0,"Shields an air carrier, contractor, or subcontractor employee from liability for refusing to violate or assist in the violation of any law, including any rule or regulation, in the course of employment if the refusal is based on a reasonable belief that the law would be violated. Prohibits air carriers, contractors, and subcontractors from discriminating against an employee alleging discrimination in violation of this Act. Sets forth procedures and penalties for violations.",33.25,14.584,21.267,8.726,15.47,16.606,81,33,9,127,21,7,50,3,407,480.42,375.472,370.989,0
2095,"Helping Responsible Homeowners Act - Directs the Federal National Mortgage Association (Fannie Mae) and the Federal Home Loan Mortgage Corporation (Freddie Mac) (government-sponsored enterprises or GSEs) each to carry out a one-year program providing for the refinancing of qualified single-family housing mortgages it owns through a refinancing mortgage (and for the purchase of and securitization of such refinancing mortgages) in accordance with this Act and the policies and procedures of the Federal Housing Finance Agency.

Defines a qualified mortgage as one that: (1) is an existing first mortgage for purchase of, or refinancing another first mortgage on, a one- to four-family dwelling, including a condominium or a share in a cooperative ownership housing association, that is occupied by the mortgagor as principal residence; (2) is owned or guaranteed by the particular GSE; and (3) the mortgagor is current on payments due under the mortgage. 

Specifies the terms and conditions of a refinancing mortgage, including a 40-year term to maturity and a prohibition on borrower fees. Requires waiver or forgiveness of all fees and penalties related to any default or delinquency on the original mortgage.

Prohibits the GSEs from charging a mortgagee any up-front fee beyond the standard guarantee fee for the refinancing of the qualified mortgage. Makes ineligible for purchase or guarantee by either GSE of any new mortgage originated by a servicer or creditor holding a second lien on a qualified mortgage who refuses to resubordinate that lien, and thereby prevents the refinancing of the qualified mortgage.

Directs the GSEs to require each servicer of a mortgage owned or guaranteed by the GSE to inform each mortgage borrower of the refinancing program authorized and established under this Act.",23.247,20.273,26.757,11.22,14.063,23.708,326,132,37,484,74,27,145,7,1540,1597.77,1211.839,1392.43,0,"Helping Responsible Homeowners Act - Requires the Federal National Mortgage Association (Fannie Mae) and the Federal Home Loan Mortgage Corporation (Freddie Mac) (government sponsored enterprises or GSEs) to provide for the refinancing of qualified mortgages on single-family housing they own and guarantee. Requires the Director of the Federal Housing Finance Agency (FHFA) to establish policies and procedures requiring the GSEs to: (1) purchase or guarantee the refinancing mortgage used to refinance a qualified mortgage upon the request of the mortgagee; and (2) not charge the mortgagee any up-front fee beyond the standard guarantee fee for such refinancing. Prohibits: (1) charging the mortgagee any up-front fee beyond the standard guarantee fee for such refinancing; and (2) resubordination of second liens by any servicer or creditor holding a second lien on a qualified mortgage who refuses to resubordinate that lien.",19.878,22.08,28.667,10.43,15.738,27.674,167,57,27,231,35,10,82,3,793,716.27,577.774,652.149,0
2096,"(Sec. 3) Requires a financial institution to comply within 48 hours with a Federal banking agency request for anti- money laundering information.
(Sec. 4) Instructs the Secretary of the Treasury to prescribe regulations governing maintenance of concentration accounts by financial institutions to ensure that such accounts are not used to prevent association of the identity of an individual customer with the movement of funds of which the customer is the direct or beneficial owner.
(Sec. 5) Amends the Federal Deposit Insurance Act to require each depository institution engaging in private banking to establish due diligence procedures for ongoing review of private banking customer accounts.
(Sec. 6) Amends Federal criminal law to: (1) expand the designations of unlawful laundering of monetary instruments; (2) impose a fine and imprisonment for false statements to financial institutions concerning the identity of a customer; and (3) grant district courts jurisdiction over any foreign person that commits a financial transaction offense in the United States, including court issuance of a pretrial restraining order.
(Sec. 8) Authorizes appropriations for the Financial Crimes Enforcement Network of the Department of the Treasury to implement an automated database to alert law enforcement officials if Currency Transaction Reports or Suspicious Activity Reports disclose patterns of illegal activity, including multiple Currency Transaction Reports or Suspicious Activity Reports which name the same individual within a prescribed period of time.",18.385,17.837,24.717,10.688,16.584,19.71,260,80,30,433,76,28,143,8,1337,1310.01,980.735,1085.2,0,"(Sec. 3) Prohibits a depository institution or branch of a foreign bank (other than an affiliate of a foreign bank) from opening or maintaining any account in the United States for a foreign entity or a representative of a foreign entity, unless: (1) for each such account, the institution completes and maintains in the United States a form or record identifying each person having a direct or beneficial ownership interest in the account; or (2) some or all of the shares of the foreign entity are publicly traded. Prohibits such an institution from opening or maintaining a correspondent account in the United States for or on behalf of a foreign banking institution, or a correspondent bank relationship with a foreign bank, that: (1) is organized under the laws of a jurisdiction outside of the United States; and (2) is not subject to comprehensive supervision or regulation on a consolidated basis by the appropriate authorities in such jurisdiction. Directs the appropriate Federal banking agency, within 48 hours after receiving a request by the appropriate Federal banking agency for information related to anti-money laundering compliance by a financial institution or correspondent bank, to issue a cease and desist order: (1) prohibiting the opening or maintaining of any correspondent account in the United States for or on behalf of a foreign banking institution or a correspondent bank relationship with a foreign bank",-20.319,35.14,40.928,17.138,13.904,41.006,259,108,29,406,59,27,100,3,1206,1349.22,1106.263,1198.081,0
2097,"Federal Airports Security Enhancement Act - Amends Federal aviation law to direct the Administrator of the Federal Aviation Administration (FAA) to establish at each airport a Security Committee which shall make recommendations for minimum security counter-measures. Requires the Administrator, on the basis of such recommendations, to prescribe appropriate changes to improve the performance of existing airport security procedures.Requires the screening of passengers and property that will be carried in a cabin of an aircraft to be carried out by Federal Protective Service employees or agents. (Currently, screening is carried out by employees or agents of an air carrier, interstate air carrier, or foreign air carrier).Authorizes the Administrator of the General Services Administration (GSA) to appoint police officers and special agents (currently, special policemen and nonuniformed special policemen) for the policing of all Federal buildings (including buildings under the control of the GSA). Sets forth certain additional powers of such officers and agents, including the authority to carry firearms and to police areas adjacent to Federal property.Establishes the Federal Protective Service as a separate operating service of the GSA. Calls for at least 1,000 full-time equivalent Service police officers to be assigned to areas outside of airport operations. Requires the Commissioner of the Service to prescribe minimum employment and training standards to be applied in the contracting of security personnel for the policing of buildings and areas controlled by the United States and GSA. Authorizes GSA to recover airport security costs from the FAA.",20.553,17.183,22.641,9.895,16.557,19.022,274,97,28,461,72,27,123,9,1427,1234.39,1027.713,1251.134,0,"TABLE OF CONTENTS: <n> Title I: Federal Airports Security Enhancement Act <n> Title II: Miscellaneous Amendments <n> Title III: Effective Dates <n>Title I: Federal Airports Security Enhancement Act (Sec. 102) Amends the Federal Airports Security Enhancement Act to provide for the establishment of Airport Security Committees at each airport location. Requires the Administrator of the Federal Aviation Administration (FAA) to establish such Committees at each airport location to be composed of representatives of the air carriers, airport operators, other interested parties, and at least one representative from the Federal Protective Service, the Federal Bureau of Investigation, the FAA, and one member from each local jurisdiction that the airport may be located in or that may have jurisdictional authority for the airport facility. <n>(Sec. 103) Directs the Administrator to prescribe regulations requiring the screening of all passengers and property that will be carried in a cabin of an aircraft in air transportation or intrastate air transportation. Requires the Administrator to: (1) require that sufficient Federal Police Officers are posted at airport facilities to provide patrol duties during all hours of operations as well as supervise screening personnel; (2) maintain sufficient numbers of Special Agents to provide necessary investigative and supervisory capability; and (3) obtain all necessary personnel and authorization from the Administrator of the General Services Administration",13.254,20.768,26.925,13.798,16.275,23.725,256,84,30,415,67,35,122,6,1293,1006.42,758.448,1059.465,0
2100,"Contact Lens Consumer Health Protection Act of 2016 This bill amends the Fairness to Contact Lens Consumers Act to require contact lens sellers to provide a toll-free telephone number and email address that prescribers can use to ask questions about a seller's prescription verification request. Under current law, a prescription is considered verified if the prescriber fails to communicate with the seller within eight business hours after receiving the seller-provided verification information. The bill requires the prescription to be considered unverified until the seller obtains affirmative confirmation of the accuracy of the prescription from the prescriber in cases where a prescriber communicates a question or concern about the accuracy or verification of the prescription to a seller through the toll-free telephone service or email address before the end of that eight-hour period.  The bill removes the Federal Trade Commission's authority to adjust the eight-hour period.  If a prescriber communicates a question or concern about the accuracy of a prescription before the deadline: (1) the seller shall not fill the prescription, and (2) the prescriber shall provide the seller with an accurate prescription. Sellers must offer prescribers different communication methods that the prescribers may select as their preferred method for verification requests. The bill allows a seller to alter a prescription only if: (1) a private label contact lens is included on the prescription and the same contact lens is manufactured by the same company and sold under multiple labels to individual providers; and (2) the seller fills the prescription with a contact lens of exactly the same material, design, and power as manufactured by that company under another label. Sellers must maintain a database of the issuance and expiration dates of each prescription they receive. The bill prohibits advertisements representing that a contact lens prescription may be filled after the prescription expires. Sellers violating certain prescriber verification requirements are subject to increased penalties of up to $40,000 per violation. Such requirements apply to all contact lens sales in the United States, notwithstanding where the seller is located.  The Centers for Disease Control and Prevention must examine the potentially adverse effects of seller violations on consumers.",33.259,16.197,21.817,8.881,15.28,19.493,399,159,33,617,88,29,165,12,2028,2028.84,1496.435,1824.393,0,"(This measure has not been amended since it was reported to the House on March 23, 2016. Contact Lens Consumer Health Protection Act of 2016 (Sec. 2) This bill amends the Fairness to Contact Lens Consumers Act to revise the process for contact lens sellers and prescribers to verify prescriptions. If a prescriber communicates a question or concern about the accuracy of a prescription, or any other matter relating to the verification of the prescription, to a seller through a toll-free telephone service or dedicated email address before the eight-business-hour period ending before the seller obtains affirmative confirmation of the prescription's accuracy, the prescription shall be unverified until the seller obtains affirmative confirmation from the prescriber. If a prescriber informs a seller that the contact lens prescription is inaccurate, expired, or otherwise invalid: (1) the seller shall not fill the prescription, and (2) the prescriber shall specify the basis for the inaccuracy or invalidity of the prescription. If a prescriber communicates a question or concern about the accuracy of a prescription before the deadline, the seller shall not fill the prescription and the prescriber shall provide the seller with an accurate prescription. The bill allows a prescriber to provide written notification to a seller requesting that all requests for verification from that seller be communicated to that prescribe",35.931,16.126,22.055,9.161,14.706,19.611,247,103,25,364,52,18,102,7,1212,1178.83,931.769,1110.795,0
2107,"SOAR to Health and Wellness Act of 2016 This bill directs the Department of Health and Human Services (HHS) to establish a pilot program, to be known as Stop, Observe, Ask, and Respond to Health and Wellness Training (or SOAR to Health and Wellness Training), to train health care providers and other related providers to:   identify potential human trafficking victims,  work with law enforcement to report and facilitate communication with such victims,  refer victims to social or victims service agencies or organizations,  provide such victims with coordinated care tailored to their circumstances, and   consider integrating this training with existing training programs.  The pilot program must include the functions of the training program with the same name that was operating before this bill's enactment and the following initiatives:   engaging stakeholders to develop a flexible training module,  supporting training in diverse health care sites,  providing technical assistance to health education programs,  developing a strategy to incentivize the use of training materials developed under this bill and the implementation of a nationwide health care protocol, and   developing a methodology for collecting and reporting data on the number of human trafficking victims served in health care settings or other related provider settings.   The pilot program is authorized through FY2022. HHS must report on the number of facilities operating under the pilot program, the number of providers trained through the pilot program, and these numbers for the program operating before the pilot program.",3.267,28.392,33.387,13.398,15.284,35.221,276,96,25,415,52,22,114,4,1372,1350.3,988.471,1223.975,0,"SOAR to Health and Wellness Act of 2016 This bill directs the Department of Health and Human Services (HHS) to establish a pilot program, to be known as Stop, Observe, Ask, and Respond to Health and Wellness Training (or SOAR to Health and Wellness Training), to provide training to health care providers and other related providers on human trafficking. The pilot program shall train health care providers and other related providers to: (1) identify potential human trafficking victims; (2) work with law enforcement to report and facilitate communication with such victims; (3) refer victims to social or victims service agencies or organizations; and (4) provide such victims care that is coordinated, victim centered, culturally relevant, comprehensive, evidence based, gender responsive, age appropriate, and trauma informed. HHS shall report on the number of human trafficking victims identified and served in health care settings or other related provider settings.",13.222,23.588,28.035,9.895,15.436,28.574,178,47,31,250,31,9,85,3,827,783.38,561.639,714.505,0
2108,"Applies the Age Discrimination in Employment Act of 1967 and the remedies and procedures referred to in the Fair Employment Practices Resolution to any:  (1) employee of (or applicant for employment by) the House of Representatives; (2) employing authority of the House; or (3) employee of (or applicant for employment by) the Architect of the Capitol, the Congressional Budget Office, the General Accounting Office, the Government Printing Office, the Office of Technology Assessment, or the U.S.  Botanic Garden. 
Applies the Fair Labor Standards Act of 1938 to:  (1) the Congressional Budget Office; (2) the General Accounting Office; (3) the Government Printing Office; (4) the Library of Congress; (5) the Office of Technology Assessment; and (6) the U.S. Botanic Garden.  Requires the Architect of the Capitol to report to the Congress on steps taken pursuant to the Fair Labor Standards Amendments of 1989 relating to the minimum wage rate of its employees. 
Expresses the sense of the House that the Committee on House Administration should make recommendations regarding the application of the Occupational Safety and Health Act to the House. 
Authorizes any employee of (or applicant for employment by) the House who has been aggrieved by a violation of the Fair Employment Practices Resolution (relating to nondiscrimination), the Age Discrimination in Employment Act of 1967, the Civil Rights Act of 1991, the Fair Labor Standards Amendment of 1989, or the Americans with Disabilities Act of 1990 to petition for review by the U.S. Court of Appeals for the Federal Circuit of the final decision pursuant to the Fair Employment Practices Resolution.  Expresses the sense of the House that the Rules of the House should be amended to address the issue of the source of payments by the House to satisfy a judgment against a Member who has been found guilty of a violation of one of such Acts. 
Gives employees of instrumentalities of the Congress who have been aggrieved by the violations of the following Acts the right to petition for judicial review:  (1) the Age Discrimination in Employment Act of 1967 (excluding Library of Congress employees); (2) the Americans with Disabilities Act of 1990; (3) the Civil Rights Act of 1991; and (4) the Fair Labor Standards Act of 1938 (excluding employees of the Architect of the Capitol).",29.126,22.967,30.831,10.578,12.429,29.324,455,169,67,557,84,24,133,7,1965,1267.46,1142.932,1928.201,7,"Applies the rights and protections of the Age Discrimination in Employment Act of 1967 to any individual who occupies an employment position or who is an applicant for an employment position, as well as to any employing authority of the House of Representatives. Applies the rights and protections of the Fair Labor Standards Act of 1938 to any individual who is employed by an instrumentality of the Congress. Declares that the provisions of this Act are enacted by the House as an exercise of the rulemaking power of the House, with full recognition of the right of the House to change its rules, in the same manner, and to the same extent as in any other rule of the House. <n>Makes such provisions applicable to any individual who is an employee of, or an applicant for employment with, an instrumentality of the Congress. <n>Requires the chief official of each instrumentality of the Congress to establish remedies and procedures to be utilized with respect to such rights and protections. <n>Requires the Architect of the Capitol to report to the Congress describing steps taken to implement provisions of the Fair Labor Standards Act of 1938 regarding age discrimination in the legislative branch. <n>Expresses the sense of the House of Representatives that the Committee on House Administration should review the Occupational Safety and Health Act of 1970 and make",47.202,15.122,21.835,9.161,11.371,18.032,250,124,12,352,49,18,97,7,1147,1025.07,969.326,1252,3
2109,"Expanding International Education for All Act - Amends the Higher Education Act of 1965 to revise title VI (International Education). 
(Sec. 2) Revises part A (International and Foreign Language Studies) with respect to incentive grants for the creation of undergraduate international studies and foreign language programs. Allows graduate schools, along with baccalaureate degree granting institutions and community and junior colleges of higher education, to be included as part of a consortium that serves undergraduates and is eligible for a grant.  Revises the Federal and non-Federal shares of the cost of planning and establishing at the undergraduate level:  (1) a foreign language program; (2) an international studies program; or (3) (new in this Act) a business and international education program.  Revises allowable uses of grant funds to include:  (1) acquisition of research and instructional materials; (2) establishment of a network with other institutions of higher education and resource centers focused on strengthening foreign language study and international studies programs; (3) development of new opportunities for learning foreign languages, including the less commonly taught languages; (4) international education programs designed to develop or enhance linkages between two- to four-year institutions of higher education, or baccalaureate and postbaccalaureate programs or institutions; (5) in-service and faculty development activities designed to strengthen instruction and research capacity of the institution; and (6) faculty travel in foreign areas, regions, and countries.  Establishes certain grant conditions. 
Establishes, under part A, a program of discretionary grants for technological innovation and cooperation for foreign information access.  (Replaces the current discretionary grants program for acquisition of and access to periodicals and other research materials published outside the United States.) 
(Sec. 3) Revises part C (Institute for International Public Policy) with respect to the non-Federal share and source of funds for minority foreign service professional development. 
Directs the Institute to make institutional development grants to strengthen international affairs programs at Historically Black Colleges and Universities, Hispanic-serving institutions, Tribally Controlled Indian Community Colleges, and minority institutions. 
(Sec. 4) Revises the Institute's share of the cost of the junior year program. 
Authorizes the Institute to carry out a summer abroad program. 
(Sec. 5) Directs the Institute to enter into agreements with specified types of institutions of higher education to conduct postbaccalaureate internships in Washington, D.C., with work experience to assist the students to prepare for a Master's degree program.  Requires such internship program to be carried out with the assistance of the Woodrow Wilson Fellowship Program. 
(Sec. 6) Establishes in the executive branch an Interagency Committee on Minority Careers in International Affairs to:  (1) advise the Secretary and the Institute on part C programs; and (2) promote policies in furtherance of part C objectives in each participating department and agency. 
(Sec. 7) Extends through FY 2003 the authorization of appropriations for part C.",20.573,17.874,23.17,12.286,16.558,20.339,577,166,95,887,134,74,213,16,2828,2542.01,1985.471,2194.658,0,"Expanding International Education for All Act - Amends the Higher Education Act of 1965 to revise provisions for international education programs at the undergraduate level, including to: (1) authorize the Secretary of Education to make grants to higher education institutions, community and junior colleges, or consortia of such institutions (which may include graduate schools as part of a consortia that serves undergraduates) to pay the Federal share of the cost of planning and establishing a foreign language program, an international studies program, or a business and international education program at the undergraduate level; (2) require such grants to be used in conjunction with institutional resources and private sector funds for specified activities, including teaching, research, curriculum planning and development, training of faculty members in foreign countries, acquisition of research and instructional materials, establishing and maintaining a network with other institutions of higher education and resource centers focused on strengthening foreign language study and international studies programs, expansion of existing and development of new opportunities for learning foreign languages, international education programs designed to develop or enhance linkages between two- to four-year institutions of higher education, or baccalaureate and postbaccalaureate programs or institutions, the development or expansion of undergraduate study abroad in which study abroad opportunities are not otherwise available or which serve students for whom such opportunities are not otherwise available and which provide courses closely related",-197.615,97.216,103.487,36.579,20.489,121.243,252,90,25,467,72,41,120,1,1431,1434.28,1101.924,1118.884,0
2119,"Hope Offered through Principled, Ethically-Sound Stem Cell Research Act or the HOPE Act - Requires the Secretary of Health and Human Services to conduct and support research to develop techniques for the isolation, derivation, production, or testing of pluripotent stem cells that have the flexibility of embryonic stem cells and that may result in improved understanding of, or treatments for, diseases and other adverse health conditions, provided that such techniques do not involve: (1) the creation of a viable human embryo for research purposes; (2) the destruction or discarding of a human embryo; or (3) knowingly subjecting a human embryo to risk of injury or death greater than that allowed on fetuses in utero.

Establishes the National Stem Cell Research Review Board to: (1) monitor research to ensure that it is in compliance with this Act; (2) prioritize research with the greatest potential for near term benefits; and (3) ensure fair consideration of both embryonic and adult stem cell research for funding.

Sets forth consent requirements for the donation of materials for research.

Applies federal provisions protecting individually identifiable health information to donors.

Amends the National Organ Transplant Act to prohibit the transfer of any human ovum, human blastocyst, human embryo, or stem cell derived from a human embryo for valuable consideration.

Amends the Public Health Service Act to prohibit any person from knowingly receiving any valuable consideration for any therapy that: (1) affects interstate commerce or is funded by federal assistance; and (2) utilizes cells from a human embryo if the process of deriving such cells destroyed the embryo.",19.942,21.45,26.874,9.329,14.439,25.412,307,97,42,445,61,16,145,6,1435,1494.35,1135.873,1264.619,1,"Hope through Principled, Ethically-Sound Stem Cell Research Act or the HOPE Act This bill requires the Department of Health and Human Services to develop techniques for the isolation, derivation, production, or testing of pluripotent stem cells that have the flexibility of embryonic stem cells (whether or not they have an embryonic source), which may result in improved understanding of or treatments for diseases and other adverse health conditions.",-5.426,31.158,38.035,13.993,15.813,38.736,78,30,9,116,18,6,58,1,385,341.6,296.029,351.382,1
